,file_name,caption
0,1000092795.jpg, Two young guys with shaggy hair look at their hands while hanging out in the yard .
1,10002456.jpg, Several men in hard hats are operating a giant pulley system .
2,1000268201.jpg, A child in a pink dress is climbing up a set of stairs in an entry way .
3,1000344755.jpg, Someone in a blue shirt and hat is standing on stair and leaning against a window .
4,1000366164.jpg," Two men , one in a gray shirt , one in a black shirt , standing near a stove ."
5,1000523639.jpg, Two people in the photo are playing the guitar and the other is poking at him .
6,1000919630.jpg, A man sits in a chair while holding a large stuffed animal of a lion .
7,10010052.jpg, A girl is on rollerskates talking on her cellphone standing in a parking lot .
8,1001465944.jpg, An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .
9,1001545525.jpg, Two men in Germany jumping over a rail at the same time without shirts .